"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Peyton Manning",2014,"QB","Den",358.622704202928,355.069498323069,355.498614285714,365.3,325.68
"Aaron Rodgers",2012,"QB","Gnb",354.863037100497,330.286074200993,379.44,NA,358.1
"Ladainian Tomlinson",2008,"RB","Sdg",351.8,NA,351.8,NA,251.6
"Drew Brees",2013,"QB","Nor",342.138313184565,342.054893035796,342.221733333333,NA,373.68
"Drew Brees",2014,"QB","Nor",340.078115321283,340.261010432714,340.173335531135,339.8,326.48
"Aaron Rodgers",2013,"QB","Gnb",336.040185426671,326.493570853341,345.5868,NA,175.44
"Aaron Rodgers",2017,"QB","Gnb",331.658545431196,321.232969626923,336.122666666667,337.62,137.6
"Drew Brees",2012,"QB","Nor",331.330071776427,325.990643552855,336.6695,NA,366.58
"Andrew Luck",2015,"QB","Ind",328.185096253086,298.94907057744,341.246218181818,344.36,140.84
"Tom Brady",2012,"QB","Nwe",325.024793627334,294.764587254668,355.285,NA,348.28
"Aaron Rodgers",2014,"QB","Gnb",322.708089856625,287.081387152292,337.622882417582,343.42,359.14
"Cam Newton",2016,"QB","Car",318.755589237842,275.015901046859,335.190866666667,346.06,268.26
"Aaron Rodgers",2015,"QB","Gnb",314.60005623151,288.383138391499,330.15703030303,325.26,309.24
"Peyton Manning",2015,"QB","Den",313.646254421759,339.542339022852,299.496424242424,301.9,108.36
"Tom Brady",2008,"QB","Nwe",312.84,NA,312.84,NA,3.04
"Peyton Manning",2013,"QB","Den",307.646757509106,293.446715018211,321.8468,NA,425.98
"Russell Wilson",2016,"QB","Sea",305.836505967166,279.815917901497,317.1736,320.52,278.06
"Tom Brady",2013,"QB","Nwe",305.56848805084,301.90737610168,309.2296,NA,262.52
"Aaron Rodgers",2016,"QB","Gnb",304.652828843611,267.801619864166,319.696866666667,326.46,387.02
"Tom Brady",2017,"QB","Nwe",304.484939482776,278.927040670549,316.887777777778,317.64,303.88
"Drew Brees",2015,"QB","Nor",300.133189963728,308.509969891183,296.7696,295.12,319.2
"Drew Brees",2017,"QB","Nor",299.492613476453,289.317062651583,300.660777777778,308.5,270.56
"Matthew Stafford",2014,"QB","Det",299.028013869863,289.359255162704,299.424786446886,308.3,265.58
"Russell Wilson",2018,"QB","Sea",297.474361110947,277.897638888396,315.365444444445,299.16,NA
"Andrew Luck",2016,"QB","Ind",297.230070727435,275.16487884897,302.205333333333,314.32,322.7
"Drew Brees",2016,"QB","Nor",293.59763094462,288.639492833861,289.0334,303.12,355.32
"Matthew Ryan",2013,"QB","Atl",293.331014527755,288.554162388844,298.107866666667,NA,271.1
"Aaron Rodgers",2018,"QB","Gnb",291.157214250215,220.850331639533,335.041311111111,317.58,NA
"Matthew Ryan",2017,"QB","Atl",289.940483164399,285.923005048752,294.698444444444,289.2,242.1
"Drew Brees",2010,"QB","Nor",288.932178054452,284.264356108905,293.6,NA,295.7
"Matthew Stafford",2012,"QB","Det",288.582699868847,249.944899737693,327.2205,NA,297.08
"Aaron Rodgers",2011,"QB","Gnb",287.727006707942,267.274013415884,308.18,NA,403.42
"Deshaun Watson",2018,"QB","Hou",284.345302045953,266.783706137859,305.7122,280.54,NA
"Antonio Brown",2016,"WR","Pit",284.160650269269,255.819740637618,312.501559900921,293.8,254.3
"Cam Newton",2012,"QB","Car",283.166777939321,230.270555878642,336.063,NA,338.86
"Russell Wilson",2015,"QB","Sea",283.101432197424,231.374514774092,311.129781818182,306.8,348.26
"David Johnson",2017,"RB","Ari",283.00107293515,207.408774361006,319.994444444445,321.6,10
"Steven Jackson",2008,"RB","Lar",283,NA,283,NA,204.1
"Carson Wentz",2018,"QB","Phi",282.695931486661,275.748638904428,288.739155555556,283.6,NA
"Matthew Ryan",2014,"QB","Atl",282.678487484744,265.319967582438,288.355494871795,294.36,300.26
"Tom Brady",2018,"QB","Nwe",281.77762971923,238.947822491024,307.585066666667,298.8,NA
"Drew Brees",2011,"QB","Nor",281.275495875851,285.450991751701,277.1,NA,401.64
"Tom Brady",2014,"QB","Nwe",280.923819305534,263.061823484368,289.129634432235,290.58,293.06
"Leveon Bell",2017,"RB","Pit",280.482342169533,239.1782765086,302.06875,300.2,299.1
"Cam Newton",2018,"QB","Car",280.082617313251,249.232518606421,294.135333333333,296.88,NA
"Andrew Luck",2014,"QB","Ind",279.717651042668,230.054854226906,303.198098901099,305.9,377.74
"Matthew Ryan",2015,"QB","Atl",279.045503771949,270.114268891606,286.082242424242,280.94,253.94
"Arian Foster",2012,"RB","Hou",278.260932153294,222.321864306588,334.2,NA,282.1
"Brian Westbrook",2008,"RB","Phi",277.2,NA,277.2,NA,242.8
"Russell Wilson",2017,"QB","Sea",275.490064106401,229.065081208092,291.845111111111,305.56,360.92
"Tom Brady",2015,"QB","Nwe",274.450834132328,265.410835730316,271.461666666667,286.48,355.2
"Russell Wilson",2014,"QB","Sea",273.849980603342,253.015490527976,278.954451282051,289.58,335.1
"Chris Johnson",2010,"RB","Ten",273.470735168405,239.141470336811,307.8,NA,250.9
"Benjamin Roethlisberger",2015,"QB","Pit",273.341153400347,251.190932928315,281.652527272727,287.18,228.42
"Derek Carr",2017,"QB","Oak",272.593546782034,275.415084790546,262.165555555555,280.2,217.44
"Cam Newton",2014,"QB","Car",272.495406752719,241.271045899184,287.235174358974,288.98,266.98
"Dak Prescott",2017,"QB","Dal",272.49384043353,260.7986324117,271.002888888889,285.68,279.66
"Matthew Stafford",2018,"QB","Det",272.482646010026,263.597226918968,273.630711111111,280.22,NA
"Calvin Johnson",2013,"WR","Det",271.925685462858,261.959370925717,281.892,NA,261.2
"Philip Rivers",2011,"QB","Sdg",271.487706382534,272.935412765068,270.04,NA,280.56
"Tony Romo",2015,"QB","Dal",271.301982703933,260.747123869374,275.798824242424,277.36,49.66
"Todd Gurley",2018,"RB","Lar",271.238174880662,196.198274641987,313.216250000001,304.3,NA
"Aaron Rodgers",2010,"QB","Gnb",271.143522155037,234.147044310074,308.14,NA,315.48
"Leveon Bell",2018,"RB","Pit",270.965886812183,200.096424325437,307.301236111111,305.5,NA
"Cam Newton",2013,"QB","Car",270.801987848819,222.795175697638,318.8088,NA,312.66
"Peyton Manning",2010,"QB","Ind",270.478717391227,267.597434782454,273.36,NA,304.8
"Philip Rivers",2017,"QB","Sdg",270.45402953639,276.528374323456,253.813714285714,281.02,282.4
"Blake Bortles",2016,"QB","Jax",270.448569671882,250.786042348979,276.299666666667,284.26,292.6
"Philip Rivers",2016,"QB","Sdg",270.347705353531,260.36198272726,272.221133333333,278.46,289.94
"Tony Romo",2014,"QB","Dal",270.345569596944,240.060713919037,280.895994871795,290.08,279.3
"Matthew Stafford",2016,"QB","Det",270.302126314708,278.29024561079,264.256133333333,268.36,291.78
"Eli Manning",2016,"QB","Nyg",270.253419944456,261.285059833369,269.6952,279.78,248.18
"Marcus Mariota",2017,"QB","Ten",270.109798026149,257.868060745113,269.041333333333,283.42,225.48
"Benjamin Roethlisberger",2016,"QB","Pit",269.277512536323,241.998004275635,279.214533333333,286.62,263.16
"Matthew Ryan",2012,"QB","Atl",269.010378757537,264.705257515073,273.3155,NA,320.86
"Russell Wilson",2013,"QB","Sea",269.000450919634,257.027835172601,280.973066666667,NA,289.18
"Eli Manning",2012,"QB","Nyg",268.19027317653,261.863046353061,274.5175,NA,249.92
"Derek Carr",2016,"QB","Oak",267.785030038774,276.249823449655,260.025266666667,267.08,268.48
"Randy Moss",2008,"WR","Nwe",267.4,NA,267.4,NA,197.3
"Drew Brees",2018,"QB","Nor",267.299158511249,236.137497755968,281.759977777778,284,NA
"Cam Newton",2017,"QB","Car",267.25533528248,238.275116958551,275.710888888889,287.78,313.48
"Peyton Manning",2012,"QB","Den",266.944142471409,265.298784942818,268.5895,NA,323.96
"Jameis Winston",2017,"QB","Tam",266.649134450865,236.076736685927,274.950666666667,288.92,222.66
"Philip Rivers",2014,"QB","Sdg",265.176226403079,256.937930491287,268.290748717949,270.3,287.64
"Matthew Stafford",2017,"QB","Det",264.473073432808,255.976109187314,264.643111111111,272.8,291.64
"Ryan Tannehill",2015,"QB","Mia",264.219021277545,239.544300196271,275.432763636363,277.68,273.82
"Arian Foster",2011,"RB","Hou",264.188656711329,219.577313422658,308.8,NA,276.6
"Philip Rivers",2018,"QB","Sdg",263.862174587909,254.916501541505,266.810022222222,269.86,NA
"Philip Rivers",2012,"QB","Sdg",263.360262977916,260.266025955831,266.4545,NA,237.24
